marketPrice,marketPriceDate,averageListPrice,averageListQty,benchmarkTradePrice,mk_price_minus_bmk_price,list_price_minus_bmk_price,benchmarkTradeDate,wineName,region,vintage,importdate,lwin_11,lwin_7
625,03/05/2021,687,10,470,155,217,29/03/2018,"Chateau Batailley 5eme Cru Classe, Pauillac",Bordeaux,2000,04/05/2021,10063222000,1006322
1480,03/05/2021,1618,73,1356,124,262,20/04/2021,"Gaja, Barbaresco",Piedmont,2017,10/05/2021,10996052017,1099605
1110,04/05/2021,1181,12,1204,-94,-23,03/05/2021,"Tignanello, Toscana",Tuscany,2015,10/05/2021,10953912015,1095391
5400,10/08/2021,5709,6,5096,304,613,08/07/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2000,11/08/2021,10060452000,1006045
5400,10/08/2021,5709,6,5096,304,613,08/07/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2000,11/08/2021,10060452000,1006045
3910,07/05/2021,4793,77,3800,110,993,07/04/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2006,10/05/2021,10127812006,1012781
5400,09/08/2021,5709,6,5096,304,613,08/07/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2000,10/08/2021,10060452000,1006045
3700,07/05/2021,4213,150,3700,0,513,06/05/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2017,10/05/2021,10127812017,1012781
8000,07/05/2021,8606,8,6974,1026,1632,14/03/2021,"Domaine Leflaive, Chevalier-Montrachet Grand Cru",Burgundy,2017,10/05/2021,10734012017,1073401
6250,07/05/2021,7028,45,6116,134,912,07/05/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2005,10/05/2021,10127812005,1012781
4400,07/05/2021,4882,23,4400,0,482,29/09/2020,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2001,10/05/2021,10127812001,1012781
3720,07/05/2021,4079,50,3480,240,599,10/04/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2014,10/05/2021,10127812014,1012781
5400,09/08/2021,5709,6,5096,304,613,08/07/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2000,10/08/2021,10060452000,1006045
5400,06/08/2021,5709,6,5096,304,613,08/07/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2000,08/08/2021,10060452000,1006045
3920,07/05/2021,4494,74,3880,40,614,22/03/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2008,10/05/2021,10127812008,1012781
5400,06/08/2021,5448,9,5096,304,352,08/07/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2000,07/08/2021,10060452000,1006045
460,07/05/2021,487,154,420,40,67,23/03/2021,"Tua Rita, Giusto di Notri, Toscana",Tuscany,2016,10/05/2021,11058072016,1105807
3700,07/05/2021,4001,24,3520,180,481,07/04/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2013,10/05/2021,10127812013,1012781
5400,06/08/2021,5709,6,5096,304,613,08/07/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2000,08/08/2021,10060452000,1006045
780,07/05/2021,836,6,682,98,154,15/09/2020,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",Bordeaux,2013,10/05/2021,10074752013,1007475
